Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93805,1,OK,0.7717915,-0.0677181,-0.6286944,0.0670486,-30.907,-100.407,-1194.909,0.3638822,4,OK,-30.648,-100.417,-1195.241,OK,-79.742,-99.272,-1184.457,OK,-129.428,-73.996,-1179.648,OK,-162.972,-122.177,-1163.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93808,1,OK,0.7688482,-0.0676268,-0.6323719,0.066369,-31.322,-100.407,-1196.264,0.3759311,4,OK,-31.079,-100.416,-1196.611,OK,-80.24,-99.282,-1186.242,OK,-129.977,-74.008,-1181.916,OK,-163.684,-122.208,-1165.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93811,1,OK,0.7673588,-0.0680785,-0.6340249,0.0673663,-31.541,-100.547,-1196.99,0.3589937,4,OK,-31.296,-100.552,-1197.316,OK,-80.503,-99.48,-1187.219,OK,-130.294,-74.253,-1183.115,OK,-164.003,-122.472,-1167.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93814,1,OK,0.7659503,-0.0668946,-0.6357277,0.0685243,-31.754,-101.173,-1197.603,0.3698522,4,OK,-31.51,-101.179,-1197.94,OK,-80.761,-100.281,-1188.009,OK,-130.651,-75.254,-1184.127,OK,-164.26,-123.603,-1168.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93817,1,OK,0.7649317,-0.0636423,-0.6373537,0.0678933,-31.91,-101.984,-1198.031,0.3705293,4,OK,-31.66,-101.989,-1198.369,OK,-80.956,-101.32,-1188.599,OK,-130.945,-76.49,-1184.744,OK,-164.434,-125.053,-1169.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93820,1,OK,0.7644121,-0.0616769,-0.6383301,0.0663685,-32.01,-102.24,-1198.34,0.3819447,4,OK,-31.758,-102.241,-1198.69,OK,-81.073,-101.644,-1188.986,OK,-131.083,-76.853,-1185.135,OK,-164.59,-125.499,-1169.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93823,1,OK,0.7648701,-0.0633296,-0.6376924,0.0656625,-31.941,-101.662,-1198.174,0.3698689,4,OK,-31.69,-101.662,-1198.51,OK,-80.996,-100.889,-1188.781,OK,-130.911,-75.924,-1184.882,OK,-164.556,-124.429,-1169.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93826,1,OK,0.7661994,-0.0653452,-0.6358078,0.0664605,-31.737,-101.175,-1197.566,0.3687342,4,OK,-31.486,-101.179,-1197.903,OK,-80.745,-100.278,-1187.963,OK,-130.609,-75.2,-1183.945,OK,-164.262,-123.589,-1168.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93829,1,OK,0.7676066,-0.0679828,-0.6336092,0.0685406,-31.49,-100.796,-1196.802,0.3630899,4,OK,-31.244,-100.8,-1197.131,OK,-80.439,-99.803,-1186.971,OK,-130.274,-74.663,-1182.853,OK,-163.884,-122.925,-1166.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93832,1,OK,0.7704435,-0.0699247,-0.6298426,0.0694674,-31.067,-100.296,-1195.428,0.355996,4,OK,-30.819,-100.307,-1195.752,OK,-79.934,-99.16,-1185.163,OK,-129.67,-73.914,-1180.676,OK,-163.211,-122.034,-1164.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93835,1,OK,0.7744378,-0.075662,-0.6238025,0.0734286,-30.382,-99.224,-1193.468,0.3700819,4,OK,-30.14,-99.238,-1193.814,OK,-79.101,-97.817,-1182.499,OK,-128.698,-72.381,-1177.711,OK,-162.12,-120.169,-1159.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93838,1,OK,0.7785611,-0.0767817,-0.618136,0.0765189,-29.701,-99.217,-1191.433,0.3593846,4,OK,-29.468,-99.236,-1191.773,OK,-78.273,-97.836,-1179.792,OK,-127.829,-72.458,-1174.435,OK,-160.9,-120.223,-1155.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93841,1,OK,0.7828571,-0.0763524,-0.6123228,0.0797863,-28.966,-99.65,-1189.254,0.3620244,4,OK,-28.725,-99.667,-1189.598,OK,-77.36,-98.43,-1176.899,OK,-126.948,-73.224,-1170.885,OK,-159.541,-121.056,-1151.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93844,1,OK,0.7878944,-0.0766479,-0.6052349,0.0838942,-28.027,-99.93,-1186.618,0.3563671,4,OK,-27.781,-99.952,-1186.958,OK,-76.205,-98.833,-1173.424,OK,-125.784,-73.805,-1166.65,OK,-157.814,-121.651,-1146.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93847,1,OK,0.7932436,-0.0776795,-0.5972233,0.0897487,-26.993,-100.301,-1183.877,0.3548125,4,OK,-26.751,-100.324,-1184.22,OK,-74.911,-99.361,-1169.74,OK,-124.49,-74.553,-1162.212,OK,-155.826,-122.394,-1141.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,93850,1,OK,0.7973424,-0.0779443,-0.5904067,0.0979272,-26.012,-101.276,-1181.354,0.3547919,4,OK,-25.773,-101.3,-1181.702,OK,-73.697,-100.699,-1166.416,OK,-123.401,-76.342,-1158.314,OK,-153.859,-124.294,-1136.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
