Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97003,1,OK,0.8518981,0.0999051,-0.5074255,0.0825105,-29.557,-140.81,-1147.62,0.4095646,4,OK,-29.317,-140.686,-1148.086,OK,-71.783,-153.467,-1123.887,OK,-120.56,-142.189,-1098.988,OK,-138.267,-199.276,-1086.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97006,1,OK,0.847271,0.1180615,-0.5095282,0.0925984,-22.501,-148.481,-1149.719,0.3912557,4,OK,-22.268,-148.346,-1150.158,OK,-64.408,-163.161,-1126.623,OK,-113.73,-154.195,-1101.822,OK,-129.44,-212.133,-1091.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97009,1,OK,0.8457372,0.1324912,-0.5079012,0.0959747,-17.032,-154.276,-1150.631,0.3742467,4,OK,-16.806,-154.138,-1151.052,OK,-58.554,-170.325,-1127.75,OK,-107.974,-162.904,-1102.596,OK,-122.392,-221.392,-1093.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97012,1,OK,0.8440124,0.1371383,-0.5117655,0.0832598,-14.554,-156.25,-1151.917,0.3564181,4,OK,-14.329,-156.103,-1152.311,OK,-56.44,-172.076,-1129.592,OK,-105.835,-164.335,-1104.424,OK,-121.306,-222.748,-1096.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97015,1,OK,0.8452134,0.1391356,-0.5117187,0.0663297,-12.876,-156.034,-1153.931,0.3516237,4,OK,-12.667,-155.877,-1154.313,OK,-55.031,-171.197,-1131.663,OK,-104.028,-162.658,-1106.028,OK,-121.048,-220.785,-1099.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97018,1,OK,0.8456805,0.1340355,-0.509867,0.0830334,-10.119,-156.434,-1155.748,0.369331,4,OK,-9.897,-156.283,-1156.158,OK,-51.958,-171.993,-1133.12,OK,-101.203,-163.946,-1107.815,OK,-116.85,-222.253,-1099.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97021,1,OK,0.8431534,0.1347344,-0.5098329,0.1049257,-7.074,-158.788,-1157.19,0.3618652,4,OK,-6.843,-158.639,-1157.592,OK,-48.486,-175.468,-1134.602,OK,-98.226,-168.803,-1109.821,OK,-111.706,-227.486,-1100.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97024,1,OK,0.839923,0.1372727,-0.5128766,0.1124415,-5.547,-161.444,-1157.935,0.3783973,4,OK,-5.323,-161.293,-1158.355,OK,-46.922,-178.705,-1135.684,OK,-96.993,-172.753,-1111.466,OK,-109.696,-231.618,-1101.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97027,1,OK,0.8370157,0.1316569,-0.5161744,0.1250407,-5.06,-162.701,-1158.49,0.3706827,4,OK,-4.836,-162.554,-1158.898,OK,-46.45,-180.124,-1136.452,OK,-96.946,-174.439,-1112.989,OK,-108.891,-233.288,-1102.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97030,1,OK,0.8361591,0.1330285,-0.5157736,0.1308392,-4.691,-164.257,-1159.336,0.3875012,4,OK,-4.452,-164.109,-1159.765,OK,-45.912,-182.061,-1137.273,OK,-96.508,-176.89,-1113.921,OK,-107.796,-235.834,-1103.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
