Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,103273,1,OK,0.7466164,0.0990339,-0.6556485,0.0536777,-177.918,180.203,-1423.266,0.3352882,4,OK,-177.689,180.315,-1423.529,OK,-226.236,169.357,-1416.830,OK,-280.042,182.547,-1409.358,OK,-303.698,126.385,-1408.965
1,Port 2: NDI 8700340  s/n:34802401,103276,1,OK,0.7458052,0.0945155,-0.6569789,0.0567463,-178.345,180.589,-1424.246,0.3484404,4,OK,-178.120,180.703,-1424.526,OK,-226.696,169.878,-1417.871,OK,-280.525,183.233,-1410.794,OK,-304.270,127.114,-1409.911
1,Port 2: NDI 8700340  s/n:34802401,103279,1,OK,0.7438688,0.0937658,-0.6591845,0.0578185,-178.590,180.611,-1425.125,0.3255968,4,OK,-178.368,180.718,-1425.377,OK,-226.983,169.898,-1419.068,OK,-280.845,183.240,-1412.295,OK,-304.572,127.107,-1411.450
1,Port 2: NDI 8700340  s/n:34802401,103282,1,OK,0.7428857,0.0919997,-0.6603098,0.0603983,-178.318,180.744,-1425.460,0.3261850,4,OK,-178.084,180.854,-1425.714,OK,-226.724,169.984,-1419.518,OK,-280.632,183.305,-1413.018,OK,-304.270,127.142,-1411.941
1,Port 2: NDI 8700340  s/n:34802401,103285,1,OK,0.7434192,0.0878425,-0.6600270,0.0630554,-177.195,181.045,-1425.075,0.3401620,4,OK,-176.938,181.155,-1425.339,OK,-225.625,170.428,-1419.010,OK,-279.507,183.875,-1412.648,OK,-303.239,127.776,-1411.015
1,Port 2: NDI 8700340  s/n:34802401,103288,1,OK,0.7446696,0.0778843,-0.6596536,0.0652565,-176.055,181.923,-1424.186,0.3416727,4,OK,-175.812,182.017,-1424.460,OK,-224.589,171.911,-1417.890,OK,-278.313,186.000,-1411.768,OK,-302.605,130.171,-1409.115
1,Port 2: NDI 8700340  s/n:34802401,103291,1,OK,0.7448091,0.0679506,-0.6604661,0.0665337,-176.045,183.190,-1422.979,0.3315177,4,OK,-175.802,183.281,-1423.240,OK,-224.705,173.824,-1416.671,OK,-278.281,188.623,-1410.892,OK,-303.212,133.134,-1407.388
1,Port 2: NDI 8700340  s/n:34802401,103294,1,OK,0.7441555,0.0590053,-0.6618771,0.0683354,-176.132,184.286,-1421.674,0.3096682,4,OK,-175.870,184.369,-1421.900,OK,-224.917,175.472,-1415.501,OK,-278.364,190.847,-1410.115,OK,-303.826,135.645,-1405.868
1,Port 2: NDI 8700340  s/n:34802401,103297,1,OK,0.7450436,0.0510993,-0.6613025,0.0705545,-175.910,186.008,-1420.086,0.3133796,4,OK,-175.659,186.086,-1420.327,OK,-224.747,177.634,-1413.728,OK,-278.083,193.489,-1408.568,OK,-303.934,138.528,-1403.483
1,Port 2: NDI 8700340  s/n:34802401,103300,1,OK,0.7482197,0.0390519,-0.6585977,0.0699381,-175.385,188.313,-1418.625,0.3026160,4,OK,-175.142,188.380,-1418.854,OK,-224.323,180.892,-1411.827,OK,-277.331,197.723,-1406.578,OK,-304.070,143.345,-1400.347
1,Port 2: NDI 8700340  s/n:34802401,103303,1,OK,0.7521181,0.0289232,-0.6547900,0.0687885,-174.158,190.654,-1417.468,0.2951535,4,OK,-173.926,190.713,-1417.688,OK,-223.122,184.090,-1410.122,OK,-275.825,201.805,-1404.599,OK,-303.336,147.936,-1397.325
1,Port 2: NDI 8700340  s/n:34802401,103306,1,OK,0.7564983,0.0211341,-0.6502628,0.0664986,-172.230,192.520,-1416.664,0.3090600,4,OK,-171.980,192.577,-1416.891,OK,-221.193,186.721,-1408.691,OK,-273.585,205.192,-1402.728,OK,-301.759,151.828,-1394.619
1,Port 2: NDI 8700340  s/n:34802401,103309,1,OK,0.7580259,0.0160855,-0.6484855,0.0678564,-170.828,193.882,-1415.905,0.2974972,4,OK,-170.587,193.938,-1416.123,OK,-219.798,188.385,-1407.701,OK,-272.046,207.167,-1401.696,OK,-300.453,154.004,-1392.954
1,Port 2: NDI 8700340  s/n:34802401,103312,1,OK,0.7597308,0.0146884,-0.6465423,0.0676493,-170.051,194.873,-1415.103,0.3028450,4,OK,-169.823,194.927,-1415.331,OK,-218.977,189.508,-1406.624,OK,-271.177,208.416,-1400.421,OK,-299.644,155.352,-1391.427
1,Port 2: NDI 8700340  s/n:34802401,103315,1,OK,0.7606448,0.0142456,-0.6453793,0.0685721,-169.550,195.490,-1414.427,0.2988631,4,OK,-169.315,195.544,-1414.652,OK,-218.452,190.101,-1405.806,OK,-270.647,208.997,-1399.482,OK,-299.046,155.916,-1390.297
1,Port 2: NDI 8700340  s/n:34802401,103318,1,OK,0.7621306,0.0127488,-0.6435910,0.0691736,-168.250,195.640,-1414.052,0.3026258,4,OK,-168.008,195.689,-1414.285,OK,-217.127,190.339,-1405.185,OK,-269.270,209.318,-1398.708,OK,-297.677,156.299,-1389.222
1,Port 2: NDI 8700340  s/n:34802401,103321,1,OK,0.7632247,0.0122206,-0.6422058,0.0700751,-166.769,195.545,-1413.974,0.2990038,4,OK,-166.539,195.601,-1414.204,OK,-215.611,190.230,-1404.933,OK,-267.728,209.199,-1398.315,OK,-296.094,156.183,-1388.613
1,Port 2: NDI 8700340  s/n:34802401,103324,1,OK,0.7642925,0.0105210,-0.6409846,0.0698930,-166.317,196.000,-1413.941,0.3187587,4,OK,-166.078,196.058,-1414.190,OK,-215.127,190.835,-1404.714,OK,-267.207,209.943,-1398.017,OK,-295.679,157.044,-1388.096
1,Port 2: NDI 8700340  s/n:34802401,103327,1,OK,0.7651878,0.0076998,-0.6399406,0.0700319,-166.016,196.698,-1413.563,0.3101340,4,OK,-165.782,196.748,-1413.806,OK,-214.825,191.750,-1404.209,OK,-266.820,211.076,-1397.467,OK,-295.443,158.314,-1387.233
1,Port 2: NDI 8700340  s/n:34802401,103330,1,OK,0.7661239,0.0057403,-0.6388463,0.0699754,-165.609,197.354,-1413.219,0.3020656,4,OK,-165.362,197.399,-1413.448,OK,-214.419,192.573,-1403.750,OK,-266.334,212.055,-1396.899,OK,-295.069,159.402,-1386.428
1,Port 2: NDI 8700340  s/n:34802401,103333,1,OK,0.7663858,0.0023932,-0.6385490,0.0700160,-165.674,198.091,-1412.764,0.2871730,4,OK,-165.426,198.137,-1412.970,OK,-214.510,193.563,-1403.293,OK,-266.320,213.310,-1396.484,OK,-295.288,160.823,-1385.725
1,Port 2: NDI 8700340  s/n:34802401,103336,1,OK,0.7672051,-0.0021984,-0.6376299,0.0694241,-165.473,198.813,-1412.420,0.2940679,4,OK,-165.235,198.862,-1412.642,OK,-214.312,194.671,-1402.807,OK,-265.985,214.824,-1396.062,OK,-295.286,162.623,-1384.918
1,Port 2: NDI 8700340  s/n:34802401,103339,1,OK,0.7678859,-0.0039308,-0.6367163,0.0702010,-163.935,199.115,-1412.237,0.2989658,4,OK,-163.700,199.154,-1412.473,OK,-212.770,195.073,-1402.482,OK,-264.392,215.307,-1395.743,OK,-293.723,163.168,-1384.342
