Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Port 2: NDI 8700340  s/n:34802401,110059,1,OK,0.8357381,-0.1706088,-0.4555291,0.2548093,-181.419,305.530,-1313.652,0.4586304,4,OK,-181.305,305.451,-1314.168,OK,-223.670,308.428,-1286.757,OK,-273.035,330.868,-1273.858,OK,-289.448,292.483,-1229.696
1,Port 2: NDI 8700340  s/n:34802401,110062,1,OK,0.8357015,-0.1728227,-0.4532294,0.2575237,-178.147,309.888,-1312.382,0.4414654,4,OK,-178.039,309.809,-1312.880,OK,-220.308,312.901,-1285.377,OK,-269.661,335.376,-1272.453,OK,-285.845,297.261,-1227.929
1,Port 2: NDI 8700340  s/n:34802401,110065,1,OK,0.8364221,-0.1775303,-0.4507035,0.2564126,-175.535,314.346,-1311.306,0.4267345,4,OK,-175.416,314.253,-1311.791,OK,-217.633,317.892,-1284.259,OK,-266.772,340.848,-1271.413,OK,-283.143,303.158,-1226.512
1,Port 2: NDI 8700340  s/n:34802401,110068,1,OK,0.8372461,-0.1847076,-0.4489964,0.2516035,-174.038,318.632,-1310.807,0.4084086,4,OK,-173.931,318.531,-1311.263,OK,-216.120,323.048,-1283.894,OK,-264.942,346.875,-1271.280,OK,-281.926,309.831,-1226.148
1,Port 2: NDI 8700340  s/n:34802401,110071,1,OK,0.8343878,-0.1951750,-0.4471554,0.2564290,-174.100,322.156,-1310.617,0.4023933,4,OK,-174.000,322.048,-1311.064,OK,-216.260,327.224,-1283.938,OK,-265.103,351.389,-1272.051,OK,-282.232,315.430,-1226.097
1,Port 2: NDI 8700340  s/n:34802401,110074,1,OK,0.8343388,-0.1935039,-0.4459589,0.2599149,-174.490,322.679,-1309.873,0.4215300,4,OK,-174.390,322.569,-1310.342,OK,-216.559,327.498,-1283.005,OK,-265.520,351.315,-1270.962,OK,-282.244,315.291,-1224.885
1,Port 2: NDI 8700340  s/n:34802401,110077,1,OK,0.8330730,-0.1967099,-0.4425899,0.2672240,-175.150,322.785,-1308.939,0.4196630,4,OK,-175.045,322.679,-1309.411,OK,-217.118,327.606,-1281.901,OK,-266.201,351.181,-1269.918,OK,-282.363,315.670,-1223.237
1,Port 2: NDI 8700340  s/n:34802401,110080,1,OK,0.8320864,-0.1942757,-0.4413882,0.2739810,-174.593,320.066,-1308.023,0.4305569,4,OK,-174.494,319.965,-1308.504,OK,-216.479,324.400,-1280.777,OK,-265.818,347.325,-1268.600,OK,-281.268,311.785,-1221.775
1,Port 2: NDI 8700340  s/n:34802401,110083,1,OK,0.8327352,-0.1873783,-0.4390535,0.2804880,-172.475,314.050,-1307.376,0.4268321,4,OK,-172.354,313.948,-1307.862,OK,-214.151,317.599,-1279.657,OK,-263.689,339.715,-1266.861,OK,-278.064,303.683,-1220.014
1,Port 2: NDI 8700340  s/n:34802401,110086,1,OK,0.8389490,-0.1699525,-0.4418127,0.2684814,-167.700,303.799,-1308.838,0.4562653,4,OK,-167.578,303.720,-1309.367,OK,-209.167,306.422,-1280.675,OK,-258.501,328.318,-1266.671,OK,-272.836,290.395,-1221.366
1,Port 2: NDI 8700340  s/n:34802401,110089,1,OK,0.8453550,-0.1473570,-0.4479762,0.2509547,-160.939,291.011,-1313.608,0.4219028,4,OK,-160.799,290.922,-1314.079,OK,-202.365,292.479,-1285.373,OK,-251.439,313.939,-1269.845,OK,-266.091,273.629,-1226.899
1,Port 2: NDI 8700340  s/n:34802401,110092,1,OK,0.8488087,-0.1324943,-0.4498663,0.2441093,-154.654,279.414,-1319.981,0.4143936,4,OK,-154.487,279.336,-1320.447,OK,-195.926,279.929,-1291.549,OK,-244.939,300.807,-1274.977,OK,-259.356,259.091,-1233.312
1,Port 2: NDI 8700340  s/n:34802401,110095,1,OK,0.8498560,-0.1222730,-0.4519240,0.2419892,-149.773,269.110,-1326.998,0.3624900,4,OK,-149.604,269.021,-1327.402,OK,-191.015,268.824,-1298.569,OK,-240.094,289.110,-1281.411,OK,-254.166,246.382,-1240.545
1,Port 2: NDI 8700340  s/n:34802401,110098,1,OK,0.8498924,-0.1119308,-0.4550646,0.2409784,-145.891,259.739,-1333.846,0.4077730,4,OK,-145.672,259.657,-1334.313,OK,-187.153,258.540,-1305.394,OK,-236.426,278.052,-1287.908,OK,-250.138,234.424,-1247.947
1,Port 2: NDI 8700340  s/n:34802401,110101,1,OK,0.8489382,-0.1023357,-0.4583302,0.2424145,-142.552,251.344,-1340.025,0.3583897,4,OK,-142.336,251.258,-1340.430,OK,-183.845,249.179,-1311.748,OK,-233.369,267.825,-1293.948,OK,-246.580,223.303,-1254.680
1,Port 2: NDI 8700340  s/n:34802401,110104,1,OK,0.8485313,-0.0897686,-0.4606050,0.2444979,-138.807,243.556,-1345.280,0.3510775,4,OK,-138.584,243.474,-1345.677,OK,-180.007,240.178,-1316.982,OK,-229.750,257.676,-1298.695,OK,-242.175,212.124,-1260.288
1,Port 2: NDI 8700340  s/n:34802401,110107,1,OK,0.8485859,-0.0779409,-0.4615851,0.2465086,-134.808,237.221,-1350.018,0.3440967,4,OK,-134.567,237.151,-1350.398,OK,-175.813,232.714,-1321.667,OK,-225.753,249.127,-1302.735,OK,-237.316,202.734,-1265.180
